Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
H09,Absolute Quantification,ABS,GEMNX72R1,Ch1Unknown,,Multi,249,QX200 ddPCR EvaGreen Supermix,4980,,,258,240,2764,11732,2764,0,11732,0,0,14496,,,,,,,,0.00025,,,0.00037,0.00013,0.025,,,0.037,0.013,1,1,0,22161,6835.7,9757.8,,,,,253.6,244.2,,,,,,,0.00037,0.00013,,,0.037,0.013
A10,Absolute Quantification,ABS,GEMNX72R2,Ch1Unknown,,Multi,51.1,QX200 ddPCR EvaGreen Supermix,1022,,,54.6,47.6,818,18436,818,0,18435,1,51.1,19254,,,,,,,,0.0044,,,0.0055,0.0033,0.44,,,0.55,0.33,1,1,0,21878,6464.1,7119,,,,,52.9,49.3,,,,,,,0.0049,0.0039,,,0.49,0.39
B10,Absolute Quantification,ABS,GEMNX72R3,Ch1Unknown,,Multi,30.3,QX200 ddPCR EvaGreen Supermix,606,,,33,27.5,463,17760,463,0,17760,0,0,18223,,,,,,,,3.00E-05,,,4.60E-05,1.50E-05,0.003,,,0.0046,0.0015,1,1,0,21541,4909.5,5332.1,,,,,31.7,28.9,,,,,,,4.50E-05,1.50E-05,,,0.0045,0.0015
C10,Absolute Quantification,ABS,Mo17X72R1,Ch1Unknown,,Multi,75.5,QX200 ddPCR EvaGreen Supermix,1510,,,79.8,71.2,1185,17875,1185,0,17875,0,0,19060,,,,,,,,7.60E-05,,,0.000113,3.80E-05,0.0076,,,0.0113,0.0038,1,1,0,22877,5898.7,6954.3,,,,,77.7,73.3,,,,,,,0.000113,3.80E-05,,,0.0113,0.0038
D10,Absolute Quantification,ABS,Mo17X72R2,Ch1Unknown,,Multi,87,QX200 ddPCR EvaGreen Supermix,1740,,,92,82.1,1190,15500,1190,0,15499,1,87,16690,,,,,,,,0.0076,,,0.0095,0.0057,0.76,,,0.94,0.57,1,1,0,22224,5887.9,7052.7,,,,,89.5,84.5,,,,,,,0.0085,0.0067,,,0.84,0.67
E10,Absolute Quantification,ABS,Mo17X72R3,Ch1Unknown,,Multi,42.3,QX200 ddPCR EvaGreen Supermix,846,,,45.7,38.9,595,16258,595,0,16257,1,42.3,16853,,,,,,,,0.0037,,,0.0046,0.0027,0.37,,,0.46,0.27,1,1,0,22154,6685.9,7232,,,,,44,40.6,,,,,,,0.00414,0.00325,,,0.412,0.324
F10,Absolute Quantification,ABS,Oh43X72R1,Ch1Unknown,,Multi,66.5,QX200 ddPCR EvaGreen Supermix,1330,,,70.7,62.3,980,16854,980,0,16854,0,0,17834,,,,,,,,6.60E-05,,,0.0001,3.30E-05,0.0066,,,0.01,0.0033,1,1,0,22184,7343.1,8158.6,,,,,68.6,64.4,,,,,,,9.90E-05,3.40E-05,,,0.0099,0.0034
G10,Absolute Quantification,ABS,Oh43X72R2,Ch1Unknown,,Multi,20.3,QX200 ddPCR EvaGreen Supermix,406,,,22.5,18.1,327,18799,327,0,18799,0,0,19126,,,,,,,,2.00E-05,,,3.10E-05,1.00E-05,0.002,,,0.0031,0.001,1,1,0,22375,7093.8,7355.1,,,,,21.4,19.2,,,,,,,3.00E-05,1.00E-05,,,0.003,0.001
H10,Absolute Quantification,ABS,Oh43X72R3,Ch1Unknown,,Multi,93,QX200 ddPCR EvaGreen Supermix,1860,,,98,88,1177,14319,1177,0,14319,0,0,15496,,,,,,,,9.30E-05,,,0.000139,4.70E-05,0.0093,,,0.0139,0.0047,1,1,0,21993,6835.3,7986.6,,,,,95.6,90.2,,,,,,,0.000139,4.70E-05,,,0.0139,0.0047
A11,Absolute Quantification,ABS,B73X7R1,Ch1Unknown,,Multi,221,QX200 ddPCR EvaGreen Supermix,4420,,,229,214,3087,14906,3087,0,14905,1,221,17993,,,,,,,,0.0192,,,0.0239,0.0145,1.88,,,2.34,1.43,1,1,0,22311,6456.3,9176.4,,,,,225.4,217.4,,,,,,,0.0214,0.017,,,2.1,1.67
B11,Absolute Quantification,ABS,B73X7R2,Ch1Unknown,,Multi,103,QX200 ddPCR EvaGreen Supermix,2060,,,108,98,1489,16295,1489,0,16295,0,0,17784,,,,,,,,0.0001,,,0.00015,5.00E-05,0.01,,,0.015,0.005,1,1,0,23158,6282.6,7695.5,,,,,105.5,100.2,,,,,,,0.00015,5.00E-05,,,0.015,0.005
C11,Absolute Quantification,ABS,B73X7R3,Ch1Unknown,,Multi,39.3,QX200 ddPCR EvaGreen Supermix,786,,,42.4,36.2,605,17819,605,0,17818,1,39.3,18424,,,,,,,,0.0034,,,0.0043,0.0025,0.34,,,0.42,0.25,1,1,0,22663,6906.2,7423.6,,,,,40.9,37.7,,,,,,,0.00381,0.00299,,,0.379,0.298
D11,Absolute Quantification,ABS,Mo17X7R1,Ch1Unknown,,Multi,1077,QX200 ddPCR EvaGreen Supermix,21540,,,1102,1053,7983,5330,7983,0,5330,0,0,13313,,,,,,,,0.0011,,,0.0016,0.0005,0.11,,,0.16,0.05,1,1,0,22696,5451.3,15792,,,,,1089,1065,,,,,,,0.0016,0.0005,,,0.16,0.05
E11,Absolute Quantification,ABS,Mo17X7R2,Ch1Unknown,,Multi,19,QX200 ddPCR EvaGreen Supermix,380,,,21.3,16.7,259,15917,259,0,15917,0,0,16176,,,,,,,,1.90E-05,,,2.90E-05,9.00E-06,0.0019,,,0.0029,0.0009,1,1,0,22796,6117.9,6385,,,,,20.2,17.8,,,,,,,2.80E-05,1.00E-05,,,0.0028,0.001
G11,Absolute Quantification,ABS,GEMNX7R1,Ch1Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,16783,0,16783,0,0,0,0,16783,,,,,,,,1,,,1.7,0.3,50,,,67,33,1,1,0,22384,0,22384,,,,,1000000,10000,,,,,,,1.7,0.3,,,67,33
A12,Absolute Quantification,ABS,GEMNX7R3,Ch1Unknown,,Multi,913,QX200 ddPCR EvaGreen Supermix,18260,,,931,895,10168,8673,10168,0,8672,1,913,18841,,,,,,,,0.079,,,0.098,0.06,7.3,,,8.9,5.7,1,1,0,21835,6546.9,14798,,,,,922,903,,,,,,,0.088,0.07,,,8.1,6.5
B12,Absolute Quantification,ABS,Oh43X7R1,Ch1Unknown,,Multi,8200,QX200 ddPCR EvaGreen Supermix,164000,,,8900,7700,15330,14,15330,0,14,0,0,15344,,,,,,,,0.0082,,,0.0124,0.0041,0.82,,,1.22,0.41,1,1,0,24363,6212.7,24346,,,,,8560,7930,,,,,,,0.0123,0.0042,,,1.22,0.41
C12,Absolute Quantification,ABS,Oh43X7R2,Ch1Unknown,,Multi,8100,QX200 ddPCR EvaGreen Supermix,162000,,,8700,7600,18197,19,18197,0,19,0,0,18216,,,,,,,,0.0081,,,0.0121,0.004,0.8,,,1.2,0.4,1,1,0,24100,6683.2,24082,,,,,8360,7820,,,,,,,0.0121,0.0041,,,1.2,0.41
D12,Absolute Quantification,ABS,Oh43X7R3,Ch1Unknown,,Multi,9600,QX200 ddPCR EvaGreen Supermix,192000,,,10900,8700,17827,5,17827,0,5,0,0,17832,,,,,,,,0.0096,,,0.0145,0.0047,0.95,,,1.43,0.47,1,1,0,23309,11607,23306,,,,,10200,9100,,,,,,,0.0144,0.0048,,,1.42,0.48
F12,Absolute Quantification,ABS,H20,Ch1Unknown,,Multi,0,QX200 ddPCR EvaGreen Supermix,0,,,0.18,0,0,19952,0,0,0,19952,0,19952,,,,,,,,,,,,,,,,,,1,1,0,0,2846.7,2846.7,,,,,0.081,0,,,,,,,,,,,,
H12,Absolute Quantification,ABS,H20,Ch1Unknown,,Multi,0,QX200 ddPCR EvaGreen Supermix,0,,,0.18,0,0,19446,0,0,0,19446,0,19446,,,,,,,,,,,,,,,,,,1,1,0,0,2932.1,2932.1,,,,,0.083,0,,,,,,,,,,,,
A08,Absolute Quantification,ABS,B73X24R1,Ch2Unknown,,Multi,11400,QX200 ddPCR EvaGreen Supermix,228000,,,15100,9500,15721,1,3952,0,11769,1,341,15722,,,,,,,,0.03,,,0.037,0.023,2.9,,,3.6,2.2,1,1,0,5071.7,1629,5071.5,,,,,12900,10300,,,,,,,0.0334,0.0265,,,3.24,2.58
B08,Absolute Quantification,ABS,B73C24R2,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,13080,0,3821,0,9259,0,0,13080,,,,,,,,0.00041,,,0.00061,0.0002,0.041,,,0.061,0.02,1,1,0,5217.8,0,5217.8,,,,,1000000,10000,,,,,,,0.00061,0.00021,,,0.061,0.021
C08,Absolute Quantification,ABS,B73C24R3,Ch2Unknown,,Multi,11500,QX200 ddPCR EvaGreen Supermix,230000,,,15200,9600,17311,1,3477,0,13834,1,264,17312,,,,,,,,0.023,,,0.029,0.017,2.2,,,2.8,1.7,1,1,0,4284.5,2769.1,4284.4,,,,,13000,10400,,,,,,,0.0256,0.0203,,,2.5,1.99
D08,Absolute Quantification,ABS,GEMNX24R1,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,16682,0,3649,0,13033,0,0,16682,,,,,,,,0.00029,,,0.00043,0.00015,0.029,,,0.043,0.015,1,1,0,5104,0,5104,,,,,1000000,10000,,,,,,,0.00043,0.00015,,,0.043,0.015
E08,Absolute Quantification,ABS,GEMNX24R2,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,16054,0,1275,0,14779,0,0,16054,,,,,,,,9.70E-05,,,0.000146,4.90E-05,0.0097,,,0.0146,0.0049,1,1,0,4697.2,0,4697.2,,,,,1000000,10000,,,,,,,0.000146,4.90E-05,,,0.0146,0.0049
F08,Absolute Quantification,ABS,GEMNX24R3,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,16571,0,3732,0,12839,0,0,16571,,,,,,,,0.0003,,,0.00045,0.00015,0.03,,,0.045,0.015,1,1,0,5217.4,0,5217.4,,,,,1000000,10000,,,,,,,0.00045,0.00015,,,0.045,0.015
G08,Absolute Quantification,ABS,Mo17X24R1,Ch2Unknown,,Multi,11500,QX200 ddPCR EvaGreen Supermix,230000,,,15200,9600,17107,1,1389,0,15718,1,99.6,17108,,,,,,,,0.0087,,,0.0108,0.0065,0.86,,,1.07,0.65,1,1,0,4444.7,2130.2,4444.5,,,,,13000,10400,,,,,,,0.0097,0.0077,,,0.96,0.76
H08,Absolute Quantification,ABS,Mo17X24R2,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,17054,0,261,0,16793,0,0,17054,,,,,,,,1.80E-05,,,2.70E-05,9.00E-06,0.0018,,,0.0027,0.0009,1,1,0,4077.4,0,4077.4,,,,,1000000,10000,,,,,,,2.70E-05,9.00E-06,,,0.0027,0.0009
A09,Absolute Quantification,ABS,Mo17X24R3,Ch2Unknown,,Multi,11300,QX200 ddPCR EvaGreen Supermix,226000,,,15100,9500,15109,1,7144,0,7965,1,753,15110,,,,,,,,0.067,,,0.083,0.05,6.2,,,7.7,4.8,1,1,0,5398.1,1812.8,5397.9,,,,,12900,10200,,,,,,,0.074,0.059,,,6.9,5.6
B09,Absolute Quantification,ABS,Oh43X24R1,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,12241,0,1647,0,10594,0,0,12241,,,,,,,,0.00017,,,0.00025,9.00E-05,0.017,,,0.025,0.009,1,1,0,5048.5,0,5048.5,,,,,1000000,10000,,,,,,,0.00025,9.00E-05,,,0.025,0.009
C09,Absolute Quantification,ABS,Oh43X24R2,Ch2Unknown,,Multi,10600,QX200 ddPCR EvaGreen Supermix,212000,,,12800,9200,15847,2,3515,0,12332,2,295,15849,,,,,,,,0.0279,,,0.0328,0.0231,2.72,,,3.17,2.26,1,1,0,5268,2135.2,5267.6,,,,,11500,9800,,,,,,,0.0303,0.0256,,,2.94,2.49
D09,Absolute Quantification,ABS,Oh43X24R3,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,16689,0,2767,0,13922,0,0,16689,,,,,,,,0.00021,,,0.00032,0.00011,0.021,,,0.032,0.011,1,1,0,4608.2,0,4608.2,,,,,1000000,10000,,,,,,,0.00032,0.00011,,,0.032,0.011
E09,Absolute Quantification,ABS,B73X72R1,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,13714,0,5142,0,8572,0,0,13714,,,,,,,,0.00055,,,0.00083,0.00028,0.055,,,0.083,0.028,1,1,0,5227,0,5227,,,,,1000000,10000,,,,,,,0.00083,0.00028,,,0.083,0.028
F09,Absolute Quantification,ABS,B73X72R2,Ch2Unknown,,Multi,11300,QX200 ddPCR EvaGreen Supermix,226000,,,15000,9500,14951,1,2835,0,12116,1,247,14952,,,,,,,,0.022,,,0.027,0.016,2.1,,,2.7,1.6,1,1,0,4935.9,2468.9,4935.7,,,,,12800,10200,,,,,,,0.0244,0.0193,,,2.39,1.9
G09,Absolute Quantification,ABS,B73X72R3,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,14407,0,601,0,13806,0,0,14407,,,,,,,,5.00E-05,,,7.50E-05,2.50E-05,0.005,,,0.0075,0.0025,1,1,0,4736.2,0,4736.2,,,,,1000000,10000,,,,,,,7.50E-05,2.50E-05,,,0.0075,0.0025
H09,Absolute Quantification,ABS,GEMNX72R1,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,14496,0,2764,0,11732,0,0,14496,,,,,,,,0.00025,,,0.00037,0.00013,0.025,,,0.037,0.013,1,1,0,4818.7,0,4818.7,,,,,1000000,10000,,,,,,,0.00037,0.00013,,,0.037,0.013
A10,Absolute Quantification,ABS,GEMNX72R2,Ch2Unknown,,Multi,11600,QX200 ddPCR EvaGreen Supermix,232000,,,15300,9800,19253,1,818,0,18435,1,51.1,19254,,,,,,,,0.0044,,,0.0055,0.0033,0.44,,,0.55,0.33,1,1,0,4605.3,2596.7,4605.2,,,,,13100,10500,,,,,,,0.0049,0.0039,,,0.49,0.39
B10,Absolute Quantification,ABS,GEMNX72R3,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,18223,0,463,0,17760,0,0,18223,,,,,,,,3.00E-05,,,4.60E-05,1.50E-05,0.003,,,0.0046,0.0015,1,1,0,3446.3,0,3446.3,,,,,1000000,10000,,,,,,,4.50E-05,1.50E-05,,,0.0045,0.0015
C10,Absolute Quantification,ABS,Mo17X72R1,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,19060,0,1185,0,17875,0,0,19060,,,,,,,,7.60E-05,,,0.000113,3.80E-05,0.0076,,,0.0113,0.0038,1,1,0,4021.9,0,4021.9,,,,,1000000,10000,,,,,,,0.000113,3.80E-05,,,0.0113,0.0038
D10,Absolute Quantification,ABS,Mo17X72R2,Ch2Unknown,,Multi,11400,QX200 ddPCR EvaGreen Supermix,228000,,,15200,9600,16689,1,1190,0,15499,1,87,16690,,,,,,,,0.0076,,,0.0095,0.0057,0.76,,,0.94,0.57,1,1,0,4297,1805.5,4296.8,,,,,13000,10400,,,,,,,0.0085,0.0067,,,0.84,0.67
E10,Absolute Quantification,ABS,Mo17X72R3,Ch2Unknown,,Multi,11400,QX200 ddPCR EvaGreen Supermix,228000,,,15200,9600,16852,1,595,0,16257,1,42.3,16853,,,,,,,,0.0037,,,0.0046,0.0027,0.37,,,0.46,0.27,1,1,0,4481.7,2316.5,4481.5,,,,,13000,10400,,,,,,,0.00414,0.00325,,,0.412,0.324
F10,Absolute Quantification,ABS,Oh43X72R1,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,17834,0,980,0,16854,0,0,17834,,,,,,,,6.60E-05,,,0.0001,3.30E-05,0.0066,,,0.01,0.0033,1,1,0,4652.2,0,4652.2,,,,,1000000,10000,,,,,,,9.90E-05,3.40E-05,,,0.0099,0.0034
G10,Absolute Quantification,ABS,Oh43X72R2,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,19126,0,327,0,18799,0,0,19126,,,,,,,,2.00E-05,,,3.10E-05,1.00E-05,0.002,,,0.0031,0.001,1,1,0,4385,0,4385,,,,,1000000,10000,,,,,,,3.00E-05,1.00E-05,,,0.003,0.001
H10,Absolute Quantification,ABS,Oh43X72R3,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,15496,0,1177,0,14319,0,0,15496,,,,,,,,9.30E-05,,,0.000139,4.70E-05,0.0093,,,0.0139,0.0047,1,1,0,4634.3,0,4634.3,,,,,1000000,10000,,,,,,,0.000139,4.70E-05,,,0.0139,0.0047
A11,Absolute Quantification,ABS,B73X7R1,Ch2Unknown,,Multi,11500,QX200 ddPCR EvaGreen Supermix,230000,,,15300,9700,17992,1,3087,0,14905,1,221,17993,,,,,,,,0.0192,,,0.0239,0.0145,1.88,,,2.34,1.43,1,1,0,4624.5,2243,4624.4,,,,,13100,10500,,,,,,,0.0214,0.017,,,2.1,1.67
B11,Absolute Quantification,ABS,B73X7R2,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,17784,0,1489,0,16295,0,0,17784,,,,,,,,0.0001,,,0.00015,5.00E-05,0.01,,,0.015,0.005,1,1,0,4307.2,0,4307.2,,,,,1000000,10000,,,,,,,0.00015,5.00E-05,,,0.015,0.005
C11,Absolute Quantification,ABS,B73X7R3,Ch2Unknown,,Multi,11600,QX200 ddPCR EvaGreen Supermix,232000,,,15300,9700,18423,1,605,0,17818,1,39.3,18424,,,,,,,,0.0034,,,0.0043,0.0025,0.34,,,0.42,0.25,1,1,0,4374.4,2481.8,4374.3,,,,,13100,10500,,,,,,,0.00381,0.00299,,,0.379,0.298
D11,Absolute Quantification,ABS,Mo17X7R1,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,13313,0,7983,0,5330,0,0,13313,,,,,,,,0.0011,,,0.0016,0.0005,0.11,,,0.16,0.05,1,1,0,5506.8,0,5506.8,,,,,1000000,10000,,,,,,,0.0016,0.0005,,,0.16,0.05
E11,Absolute Quantification,ABS,Mo17X7R2,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,16176,0,259,0,15917,0,0,16176,,,,,,,,1.90E-05,,,2.90E-05,9.00E-06,0.0019,,,0.0029,0.0009,1,1,0,4235,0,4235,,,,,1000000,10000,,,,,,,2.80E-05,1.00E-05,,,0.0028,0.001
G11,Absolute Quantification,ABS,GEMNX7R1,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,16783,0,16783,0,0,0,0,16783,,,,,,,,1,,,1.7,0.3,50,,,67,33,1,1,0,7057.5,0,7057.5,,,,,1000000,10000,,,,,,,1.7,0.3,,,67,33
A12,Absolute Quantification,ABS,GEMNX7R3,Ch2Unknown,,Multi,11600,QX200 ddPCR EvaGreen Supermix,232000,,,15300,9700,18840,1,10168,0,8672,1,913,18841,,,,,,,,0.079,,,0.098,0.06,7.3,,,8.9,5.7,1,1,0,5563.3,2060.3,5563.1,,,,,13100,10500,,,,,,,0.088,0.07,,,8.1,6.5
B12,Absolute Quantification,ABS,Oh43X7R1,Ch2Unknown,,Multi,1000000,QX200 ddPCR EvaGreen Supermix,20000000,,,1000000,10000,15344,0,15330,0,14,0,0,15344,,,,,,,,0.0082,,,0.0124,0.0041,0.82,,,1.22,0.41,1,1,0,6785.6,0,6785.6,,,,,1000000,10000,,,,,,,0.0123,0.0042,,,1.22,0.41
